timestamp_utc,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,history
2023-02-23 08:54:29.425751925+00:00,CNE8cw4U8alfyh9z1c,192.168.1.106,61909,176.223.208.23,443,tcp,-,2.999771,0,0,4,0,S0,S
2023-02-23 08:54:37.554769039+00:00,CpykDl1fDErStpBfda,192.168.1.106,61910,176.223.208.23,443,tcp,-,3.002640,0,0,4,0,S0,S
2023-02-23 08:54:45.704061985+00:00,CqlSzl6XfpN5vBvR1,192.168.1.106,61911,176.223.208.23,443,tcp,-,3.018312,0,0,4,0,S0,S
2023-02-23 08:54:53.848108053+00:00,CJABGe10PZmIsZ1nu9,192.168.1.106,61912,176.223.208.23,443,tcp,ssl,10.539047,498,4996,20,16,SF,ShADTadtFf
2023-02-23 08:55:05.370580912+00:00,CKXeje4wyBlAtiPrOi,192.168.1.106,61915,176.223.208.23,443,tcp,-,3.003972,0,0,4,0,S0,S
2023-02-23 08:55:14.268718004+00:00,CaOUwe1KhAD7UA3FL3,192.168.1.106,62617,176.223.208.23,443,tcp,-,3.003364,0,0,4,0,S0,S
2023-02-23 08:55:22.425811052+00:00,CNNZdD4gGMIDCYHwld,192.168.1.106,62619,176.223.208.23,443,tcp,ssl,3.161911,263,137,16,8,SF,ShADTadtFf
2023-02-23 08:55:26.577455997+00:00,CiM6XK8s6HurseQrk,192.168.1.106,62620,176.223.208.23,443,tcp,ssl,3.151580,263,137,16,8,SF,ShADTadtFf
2023-02-23 08:55:30.710463047+00:00,CsJF711PPuALpBXzbk,192.168.1.106,62621,176.223.208.23,443,tcp,ssl,0.117224,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:31.821286917+00:00,CnQUIt1nYbLDN86GHf,192.168.1.106,62622,176.223.208.23,443,tcp,ssl,0.116973,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:32.921073914+00:00,C9r9881XTSIHRVM3O4,192.168.1.106,62623,176.223.208.23,443,tcp,ssl,0.116165,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:34.022783995+00:00,CT1ZSIzEPXst4PQ02,192.168.1.106,62624,176.223.208.23,443,tcp,ssl,0.116254,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:35.119898081+00:00,CzJY6dyJITbGNzrKg,192.168.1.106,62626,176.223.208.23,443,tcp,ssl,0.125101,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:36.227794886+00:00,CIUALmAcb4ynVmB7e,192.168.1.106,62627,176.223.208.23,443,tcp,ssl,0.115785,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:37.328311920+00:00,CRQXZh3Jcfr6KFLI63,192.168.1.106,62628,176.223.208.23,443,tcp,ssl,0.116991,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:38.429775953+00:00,C5Od2ZKjErdbKX6wh,192.168.1.106,62629,176.223.208.23,443,tcp,ssl,0.117229,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:39.532517910+00:00,CQLubj3dgkzuVpYL9,192.168.1.106,62630,176.223.208.23,443,tcp,ssl,0.115731,263,137,14,8,SF,ShADTadtFf
2023-02-23 08:55:40.637196064+00:00,C5uqqB3GnVBrBzXFl9,192.168.1.106,62631,176.223.208.23,443,tcp,-,2.999853,0,0,4,0,S0,S
2023-02-23 08:55:46.895365953+00:00,COEAhy2YLyKbU9ti55,192.168.1.106,62632,176.223.208.23,443,tcp,ssl,132.741906,458,171362,240,250,SF,ShADTadtttfFR
