timestamp_utc,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,resp_pkts
2023-02-21 06:50:05.443686962+00:00,1676962205.443687,Cuzgqs8o8TuYnsMOj,192.168.1.106,49709,4.234.116.12,2567,tcp,http,21.372693,375.0,0.0,RSTO,ShADTTR,24,2
2023-02-21 06:50:32.146493912+00:00,1676962232.146494,CUehkA2EiM1FbsfqWc,192.168.1.106,49728,4.234.116.12,2567,tcp,http,18.982455,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:50:56.084285975+00:00,1676962256.084286,CZGFUb4HuQrGioOYO1,192.168.1.106,49745,4.234.116.12,2567,tcp,http,18.966625,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:51:20.036976099+00:00,1676962280.036976,CrGk74Lsux2RYmyYa,192.168.1.106,54074,4.234.116.12,2567,tcp,http,19.056418,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:51:44.308295965+00:00,1676962304.308296,Ckpcsd4ZA3ytu92g3,192.168.1.106,54125,4.234.116.12,2567,tcp,http,18.930356,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:52:08.239490032+00:00,1676962328.239490,C5WdRPezHMvvgEpf6,192.168.1.106,54145,4.234.116.12,2567,tcp,http,21.647133,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:52:34.841320992+00:00,1676962354.841321,CVXiyg2YJMsn3AdG4f,192.168.1.106,54150,4.234.116.12,2567,tcp,http,18.951452,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:52:58.778497934+00:00,1676962378.778498,CxdpoivOaMlo0o5p2,192.168.1.106,54165,4.234.116.12,2567,tcp,http,18.967685,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:53:22.769902945+00:00,1676962402.769903,C3W7792fPb4ouLOHZc,192.168.1.106,54166,4.234.116.12,2567,tcp,http,18.976205,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:53:46.716129065+00:00,1676962426.716129,ClJ3K22ojoJhfMLrMd,192.168.1.106,54172,4.234.116.12,2567,tcp,http,18.967008,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:54:10.684694052+00:00,1676962450.684694,CW5XwS1wNWh5nhEAW,192.168.1.106,54173,4.234.116.12,2567,tcp,http,18.992399,375.0,0.0,RSTO,ShADTTR,18,2
2023-02-21 06:54:34.637447119+00:00,1676962474.637447,CkEHua1xkvIPZDpZG4,192.168.1.106,54174,4.234.116.12,2567,tcp,http,18.967757,375.0,0.0,RSTO,ShADTTR,20,2
2023-02-21 06:54:58.613650084+00:00,1676962498.613650,CK53JKZ1qlDu5vcH4,192.168.1.106,54183,4.234.116.12,2567,tcp,http,18.944388,375.0,0.0,RSTO,ShADTTR,20,2
