timestamp_utc,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,history
2023-02-24 00:12:54.156299114+00:00,CG73fv3zXsCfIxKa8i,192.168.1.106,54261,192.168.1.108,139,tcp,"smb,gssapi,ntlm",16.770734,1005,1208,13,11,SF,ShDdAaFf
2023-02-24 00:12:54.164233923+00:00,CITTzk2vyhZ3KAhWa2,192.168.1.106,54262,192.168.1.108,139,tcp,"smb,gssapi,ntlm",16.763780,989,1301,13,11,SF,ShDdAFf
2023-02-24 00:12:54.174027920+00:00,CTMkakd5mQsYBEOx7,192.168.1.106,54263,192.168.1.108,139,tcp,"krb,smb,gssapi",16.755026,3906,904,15,13,SF,ShDdaAFf
2023-02-24 00:15:38.388793945+00:00,C5l5Oy1KYApiepZ3Wc,192.168.1.106,54265,192.168.1.108,445,tcp,"krb,smb,gssapi",17.835037,3873,1205,14,10,RSTO,ShADdaR
2023-02-24 00:23:47.490462065+00:00,CI2vKpIoSzX1jj7O8,192.168.1.106,49615,192.168.1.108,445,tcp,"krb,smb,gssapi",12.128176,4689,1442,16,12,RSTO,ShADdaR
2023-02-24 00:24:59.599292994+00:00,CULhS81762y80G6Pv3,192.168.1.106,49616,192.168.1.108,139,tcp,"smb,gssapi,ntlm",11.622286,1005,1208,13,11,SF,ShDdAaFf
2023-02-24 00:24:59.611155033+00:00,Cu8Gpcb2KuIe7A9Hd,192.168.1.106,49617,192.168.1.108,139,tcp,"smb,gssapi,ntlm",11.612192,989,1301,13,11,SF,ShDdAFf
2023-02-24 00:24:59.625402927+00:00,CVjr6t2vBR81BafsJ,192.168.1.106,49618,192.168.1.108,139,tcp,"krb,smb,gssapi",11.599596,3906,904,15,13,SF,ShDdaAFf
2023-02-24 00:30:45.147578955+00:00,CWhzA14C3ghhvLnL92,192.168.1.106,55697,192.168.1.108,445,tcp,"krb,smb,gssapi",11.763712,3873,1205,14,10,RSTO,ShADdaR
2023-02-24 00:37:05.451529980+00:00,CP6meE4GMQxgKwYUm,192.168.1.106,60018,192.168.1.108,139,tcp,"smb,gssapi,ntlm",13.401508,1005,1208,13,11,SF,ShDdAaFf
